Tabelle	Zeilen im Abzug	Zeilen in der Datenbank
public.actor	0	0
public.agent	0	0
public.agent_knowledge	0	0
public.agent_policy	0	0
public.agent_template	0	0
public.app	0	0
public.app_state_history	0	0
public.approval	0	0
public.auth_session	0	0
public.contact	0	0
public.contract_check	0	0
public.direct_prototype	0	0
public.document	0	0
public.document_version	0	0
public.event	0	0
public.fit_answer	0	0
public.fit_check	0	0
public.fit_option	13	13
public.fit_question	3	3
public.invitation	0	0
public.invitation_decision	0	0
public.knowledge_module	0	0
public.knowledge_module_source	0	0
public.knowledge_module_version	0	0
public.knowledge_source	0	0
public.lifecycle_state_label	16	16
public.login_attempt	0	0
public.login_code	0	0
public.mail_delivery	0	0
public.membership	0	0
public.model_manifest	0	0
public.model_manifest_version	0	0
public.model_ref	6	6
public.module	4	4
public.nummernvorrat	3	3
public.policy	0	0
public.policy_version	0	0
public.portal	5	5
public.project_contract	0	0
public.quick_answer	0	0
public.quick_check	0	0
public.quick_option	0	0
public.quick_question	0	0
public.quick_question_version	0	0
public.retention_rule	7	7
public.review_finding	0	0
public.review_run	0	0
public.role	2	2
public.role_right	2	2
public.schema_migration	2	2
public.state_transition	19	19
public.template	0	0
public.template_element	0	0
public.template_version	0	0
public.tenant	0	0
public.tenant_invite_domain	0	0
public.test_harness	0	0
SUMME	82	82
