Tabelle	Zeilen im Abzug	Zeilen in der Datenbank
public.actor	0	0
public.agent	0	0
public.agent_knowledge	0	0
public.agent_policy	0	0
public.agent_template	0	0
public.app	0	0
public.app_state_history	0	0
public.approval	0	0
public.contact	0	0
public.direct_prototype	0	0
public.document	0	0
public.event	0	0
public.fit_answer	0	0
public.fit_check	0	0
public.fit_option	13	13
public.fit_question	3	3
public.invitation	0	0
public.knowledge_module	0	0
public.knowledge_module_source	0	0
public.knowledge_module_version	0	0
public.knowledge_source	0	0
public.lifecycle_state_label	16	16
public.membership	0	0
public.model_ref	6	6
public.module	4	4
public.policy	0	0
public.policy_version	0	0
public.portal	5	5
public.retention_rule	3	3
public.review_finding	0	0
public.review_run	0	0
public.role	2	2
public.role_right	2	2
public.template	0	0
public.template_version	0	0
public.tenant	0	0
public.test_harness	0	0
SUMME	54	54
